cat1,product_id,ProductoCompleto12,ProductoCompleto24
FOODS,20491,No,No
FOODS,20493,No,No
FOODS,20495,No,No
FOODS,20496,No,No
FOODS,20497,No,No
FOODS,20500,No,No
FOODS,20501,Sí,Sí
FOODS,20502,No,No
FOODS,20503,Sí,No
FOODS,20505,No,No
FOODS,20507,No,No
FOODS,20508,No,No
FOODS,20509,Sí,Sí
FOODS,20510,No,No
FOODS,20512,Sí,Sí
FOODS,20513,No,No
FOODS,20514,No,No
FOODS,20515,No,No
FOODS,20517,No,No
FOODS,20520,No,No
FOODS,20521,No,No
FOODS,20522,Sí,No
FOODS,20523,No,No
FOODS,20524,No,No
FOODS,20525,No,No
FOODS,20526,No,No
FOODS,20527,No,No
FOODS,20530,No,No
FOODS,20531,No,No
FOODS,20536,No,No
FOODS,20537,No,No
FOODS,20538,No,No
FOODS,20539,No,No
FOODS,20540,No,No
FOODS,20541,No,No
FOODS,20542,No,No
FOODS,20544,No,No
FOODS,20546,No,No
FOODS,20547,Sí,No
FOODS,20548,No,No
FOODS,20549,No,No
FOODS,20551,No,No
FOODS,20552,No,No
FOODS,20553,No,No
FOODS,20555,Sí,Sí
FOODS,20556,Sí,No
FOODS,20557,No,No
FOODS,20558,Sí,No
FOODS,20559,No,No
FOODS,20560,No,No
FOODS,20561,Sí,Sí
FOODS,20562,No,No
FOODS,20563,No,No
FOODS,20564,No,No
FOODS,20565,Sí,Sí
FOODS,20567,Sí,Sí
FOODS,20568,No,No
FOODS,20569,No,No
FOODS,20570,No,No
FOODS,20571,No,No
FOODS,20572,No,No
FOODS,20574,No,No
FOODS,20575,No,No
FOODS,20576,No,No
FOODS,20577,No,No
FOODS,20578,No,No
FOODS,20579,No,No
FOODS,20580,Sí,No
FOODS,20583,No,No
FOODS,20585,No,No
FOODS,20586,Sí,Sí
FOODS,20588,No,No
FOODS,20589,No,No
FOODS,20592,No,No
FOODS,20593,No,No
FOODS,20594,No,No
FOODS,20595,No,No
FOODS,20596,No,No
FOODS,20597,Sí,Sí
FOODS,20599,No,No
FOODS,20600,No,No
FOODS,20601,Sí,Sí
FOODS,20602,No,No
FOODS,20603,No,No
FOODS,20604,No,No
FOODS,20605,No,No
FOODS,20606,No,No
FOODS,20609,Sí,Sí
FOODS,20611,No,No
FOODS,20614,Sí,Sí
FOODS,20615,No,No
FOODS,20617,Sí,Sí
FOODS,20620,No,No
FOODS,20621,No,No
FOODS,20622,No,No
FOODS,20623,No,No
FOODS,20624,No,No
FOODS,20627,No,No
FOODS,20628,No,No
FOODS,20629,No,No
FOODS,20631,No,No
FOODS,20632,No,No
FOODS,20633,No,No
FOODS,20636,Sí,Sí
FOODS,20638,No,No
FOODS,20639,No,No
FOODS,20640,No,No
FOODS,20641,No,No
FOODS,20642,No,No
FOODS,20644,No,No
FOODS,20645,Sí,Sí
FOODS,20646,No,No
FOODS,20647,Sí,Sí
FOODS,20649,No,No
FOODS,20651,No,No
FOODS,20652,No,No
FOODS,20653,No,No
FOODS,20654,No,No
FOODS,20655,No,No
FOODS,20656,No,No
FOODS,20657,No,No
FOODS,20658,No,No
FOODS,20659,No,No
FOODS,20660,Sí,Sí
FOODS,20661,No,No
FOODS,20662,No,No
FOODS,20663,Sí,Sí
FOODS,20664,Sí,Sí
FOODS,20666,No,No
FOODS,20667,No,No
FOODS,20668,No,No
FOODS,20669,No,No
FOODS,20670,Sí,Sí
FOODS,20671,No,No
FOODS,20672,No,No
FOODS,20673,No,No
FOODS,20674,No,No
FOODS,20676,No,No
FOODS,20677,No,No
FOODS,20678,Sí,Sí
FOODS,20679,No,No
FOODS,20680,No,No
FOODS,20681,No,No
FOODS,20682,No,No
FOODS,20683,No,No
FOODS,20684,Sí,Sí
FOODS,20685,Sí,Sí
FOODS,20686,No,No
FOODS,20689,Sí,No
FOODS,20691,No,No
FOODS,20693,No,No
FOODS,20694,No,No
FOODS,20696,No,No
FOODS,20697,No,No
FOODS,20699,No,No
FOODS,20700,No,No
FOODS,20701,No,No
FOODS,20702,No,No
FOODS,20703,No,No
FOODS,20705,No,No
FOODS,20706,No,No
FOODS,20708,No,No
FOODS,20709,No,No
FOODS,20710,No,No
FOODS,20711,No,No
FOODS,20712,No,No
FOODS,20713,No,No
FOODS,20714,No,No
FOODS,20715,Sí,Sí
FOODS,20719,No,No
FOODS,20720,No,No
FOODS,20721,No,No
FOODS,20723,No,No
FOODS,20724,No,No
FOODS,20725,No,No
FOODS,20728,No,No
FOODS,20729,Sí,Sí
FOODS,20730,Sí,Sí
FOODS,20732,No,No
FOODS,20733,No,No
FOODS,20735,No,No
FOODS,20737,No,No
FOODS,20739,No,No
FOODS,20741,No,No
FOODS,20742,No,No
FOODS,20743,No,No
FOODS,20744,No,No
FOODS,20745,No,No
FOODS,20746,No,No
FOODS,20749,No,No
FOODS,20750,No,No
FOODS,20751,No,No
FOODS,20754,No,No
FOODS,20756,No,No
FOODS,20757,No,No
FOODS,20758,No,No
FOODS,20759,Sí,Sí
FOODS,20760,No,No
FOODS,20761,No,No
FOODS,20762,No,No
FOODS,20763,No,No
FOODS,20764,No,No
FOODS,20765,Sí,Sí
FOODS,20768,No,No
FOODS,20770,No,No
FOODS,20771,No,No
FOODS,20772,No,No
FOODS,20773,Sí,Sí
FOODS,20774,No,No
FOODS,20775,No,No
FOODS,20777,No,No
FOODS,20778,Sí,Sí
FOODS,20779,No,No
FOODS,20780,No,No
FOODS,20781,Sí,Sí
FOODS,20782,No,No
FOODS,20783,No,No
FOODS,20784,No,No
FOODS,20785,No,No
FOODS,20786,No,No
FOODS,20788,No,No
FOODS,20789,No,No
FOODS,20790,No,No
FOODS,20792,No,No
FOODS,20793,No,No
FOODS,20794,No,No
FOODS,20795,No,No
FOODS,20796,Sí,Sí
FOODS,20797,No,No
FOODS,20798,Sí,No
FOODS,20799,No,No
FOODS,20800,Sí,Sí
FOODS,20801,No,No
FOODS,20802,No,No
FOODS,20803,No,No
FOODS,20809,No,No
FOODS,20810,No,No
FOODS,20811,No,No
FOODS,20812,Sí,Sí
FOODS,20815,No,No
FOODS,20817,Sí,No
FOODS,20818,No,No
FOODS,20820,No,No
FOODS,20821,No,No
FOODS,20822,No,No
FOODS,20823,No,No
FOODS,20824,No,No
FOODS,20826,No,No
FOODS,20827,No,No
FOODS,20828,No,No
FOODS,20830,No,No
FOODS,20831,No,No
FOODS,20832,No,No
FOODS,20835,Sí,No
FOODS,20836,No,No
FOODS,20840,No,No
FOODS,20841,No,No
FOODS,20843,Sí,Sí
FOODS,20845,No,No
FOODS,20846,Sí,Sí
FOODS,20847,Sí,Sí
FOODS,20849,No,No
FOODS,20850,No,No
FOODS,20852,Sí,No
FOODS,20853,No,No
FOODS,20854,No,No
FOODS,20855,No,No
FOODS,20859,No,No
FOODS,20862,No,No
FOODS,20863,Sí,Sí
FOODS,20864,No,No
FOODS,20865,No,No
FOODS,20870,No,No
FOODS,20873,No,No
FOODS,20874,No,No
FOODS,20877,No,No
FOODS,20878,No,No
FOODS,20879,No,No
FOODS,20882,No,No
FOODS,20883,No,No
FOODS,20884,No,No
FOODS,20885,No,No
FOODS,20886,No,No
FOODS,20888,No,No
FOODS,20891,No,No
FOODS,20892,No,No
FOODS,20894,No,No
FOODS,20895,No,No
FOODS,20899,No,No
FOODS,20901,No,No
FOODS,20902,No,No
FOODS,20904,No,No
FOODS,20906,No,No
FOODS,20907,No,No
FOODS,20908,No,No
FOODS,20910,No,No
FOODS,20912,No,No
FOODS,20913,No,No
FOODS,20914,No,No
FOODS,20915,No,No
FOODS,20917,No,No
FOODS,20919,No,No
FOODS,20920,No,No
FOODS,20922,No,No
FOODS,20923,No,No
FOODS,20924,No,No
FOODS,20925,Sí,Sí
FOODS,20926,No,No
FOODS,20927,No,No
FOODS,20928,No,No
FOODS,20929,No,No
FOODS,20930,No,No
FOODS,20931,No,No
FOODS,20932,No,No
FOODS,20933,No,No
FOODS,20935,No,No
FOODS,20936,No,No
FOODS,20937,No,No
FOODS,20940,No,No
FOODS,20941,No,No
FOODS,20942,No,No
FOODS,20945,No,No
FOODS,20946,No,No
FOODS,20947,Sí,Sí
FOODS,20948,Sí,Sí
FOODS,20949,No,No
FOODS,20951,No,No
FOODS,20952,No,No
FOODS,20953,No,No
FOODS,20956,No,No
FOODS,20957,No,No
FOODS,20958,No,No
FOODS,20960,No,No
FOODS,20961,No,No
FOODS,20962,No,No
FOODS,20964,No,No
FOODS,20965,No,No
FOODS,20966,No,No
FOODS,20967,No,No
FOODS,20968,No,No
FOODS,20970,Sí,Sí
FOODS,20972,No,No
FOODS,20973,No,No
FOODS,20974,Sí,Sí
FOODS,20975,No,No
FOODS,20976,No,No
FOODS,20977,No,No
FOODS,20980,No,No
FOODS,20981,No,No
FOODS,20982,No,No
FOODS,20985,No,No
FOODS,20986,No,No
FOODS,20987,No,No
FOODS,20990,No,No
FOODS,20991,Sí,Sí
FOODS,20992,No,No
FOODS,20993,No,No
FOODS,20994,No,No
FOODS,20995,No,No
FOODS,20996,No,No
FOODS,20997,No,No
FOODS,21001,No,No
FOODS,21003,No,No
FOODS,21005,Sí,Sí
FOODS,21006,No,No
FOODS,21007,No,No
FOODS,21008,No,No
FOODS,21013,No,No
FOODS,21014,No,No
FOODS,21016,Sí,Sí
FOODS,21018,No,No
FOODS,21022,No,No
FOODS,21023,No,No
FOODS,21024,Sí,Sí
FOODS,21026,No,No
FOODS,21027,No,No
FOODS,21028,No,No
FOODS,21029,No,No
FOODS,21032,Sí,Sí
FOODS,21033,No,No
FOODS,21034,No,No
FOODS,21035,No,No
FOODS,21037,No,No
FOODS,21038,Sí,Sí
FOODS,21039,No,No
FOODS,21040,No,No
FOODS,21042,No,No
FOODS,21044,No,No
FOODS,21048,No,No
FOODS,21049,No,No
FOODS,21054,No,No
FOODS,21055,No,No
FOODS,21056,No,No
FOODS,21057,No,No
FOODS,21058,No,No
FOODS,21063,No,No
FOODS,21064,No,No
FOODS,21065,No,No
FOODS,21071,No,No
FOODS,21073,No,No
FOODS,21074,No,No
FOODS,21075,No,No
FOODS,21077,No,No
FOODS,21079,No,No
FOODS,21080,No,No
FOODS,21084,No,No
FOODS,21086,No,No
FOODS,21087,No,No
FOODS,21088,Sí,Sí
FOODS,21092,No,No
FOODS,21093,No,No
FOODS,21097,No,No
FOODS,21099,No,No
FOODS,21102,No,No
FOODS,21105,No,No
FOODS,21108,No,No
FOODS,21109,No,No
FOODS,21110,No,No
FOODS,21111,No,No
FOODS,21112,No,No
FOODS,21114,No,No
FOODS,21118,No,No
FOODS,21119,No,No
FOODS,21124,No,No
FOODS,21126,No,No
FOODS,21128,No,No
FOODS,21129,No,No
FOODS,21131,Sí,Sí
FOODS,21133,No,No
FOODS,21135,No,No
FOODS,21137,No,No
FOODS,21140,No,No
FOODS,21142,No,No
FOODS,21144,No,No
FOODS,21146,No,No
FOODS,21147,No,No
FOODS,21150,No,No
FOODS,21153,No,No
FOODS,21154,No,No
FOODS,21155,No,No
FOODS,21156,No,No
FOODS,21157,No,No
FOODS,21159,No,No
FOODS,21163,No,No
FOODS,21164,No,No
FOODS,21167,No,No
FOODS,21168,No,No
FOODS,21170,No,No
FOODS,21171,No,No
FOODS,21173,No,No
FOODS,21174,No,No
FOODS,21176,No,No
FOODS,21179,No,No
FOODS,21180,No,No
FOODS,21181,No,No
FOODS,21182,No,No
FOODS,21184,No,No
FOODS,21190,No,No
FOODS,21191,No,No
FOODS,21192,No,No
FOODS,21194,No,No
FOODS,21195,No,No
FOODS,21196,No,No
FOODS,21200,No,No
FOODS,21201,No,No
FOODS,21202,No,No
FOODS,21207,No,No
FOODS,21209,No,No
FOODS,21211,No,No
FOODS,21212,No,No
FOODS,21214,No,No
FOODS,21218,No,No
FOODS,21219,No,No
FOODS,21220,No,No
FOODS,21222,No,No
FOODS,21224,No,No
FOODS,21226,No,No
FOODS,21227,No,No
FOODS,21229,No,No
FOODS,21233,No,No
FOODS,21234,No,No
FOODS,21237,No,No
FOODS,21239,No,No
FOODS,21242,No,No
FOODS,21244,No,No
FOODS,21245,No,No
FOODS,21246,No,No
FOODS,21247,No,No
FOODS,21248,No,No
FOODS,21252,No,No
FOODS,21255,No,No
FOODS,21256,No,No
FOODS,21257,No,No
FOODS,21259,No,No
FOODS,21262,No,No
FOODS,21263,No,No
FOODS,21264,No,No
FOODS,21265,No,No
FOODS,21266,No,No
FOODS,21267,No,No
FOODS,21271,No,No
FOODS,21276,No,No
HC,20004,No,No
HC,20005,No,No
HC,20007,Sí,Sí
HC,20009,Sí,Sí
HC,20012,Sí,Sí
HC,20013,Sí,Sí
HC,20014,Sí,Sí
HC,20015,Sí,Sí
HC,20016,Sí,Sí
HC,20020,Sí,Sí
HC,20022,Sí,Sí
HC,20023,No,No
HC,20024,Sí,Sí
HC,20025,Sí,Sí
HC,20027,Sí,Sí
HC,20029,Sí,Sí
HC,20030,Sí,Sí
HC,20031,Sí,Sí
HC,20032,No,No
HC,20033,No,No
HC,20037,No,No
HC,20038,Sí,Sí
HC,20041,Sí,Sí
HC,20043,Sí,Sí
HC,20047,No,No
HC,20048,No,No
HC,20050,Sí,Sí
HC,20054,No,No
HC,20056,Sí,Sí
HC,20057,Sí,Sí
HC,20058,No,No
HC,20059,No,No
HC,20061,No,No
HC,20062,Sí,Sí
HC,20063,Sí,Sí
HC,20065,Sí,Sí
HC,20066,Sí,Sí
HC,20067,Sí,Sí
HC,20068,Sí,Sí
HC,20069,Sí,Sí
HC,20070,Sí,Sí
HC,20071,Sí,Sí
HC,20072,Sí,Sí
HC,20073,Sí,Sí
HC,20074,Sí,Sí
HC,20075,No,No
HC,20076,Sí,Sí
HC,20077,No,No
HC,20078,No,No
HC,20079,No,No
HC,20080,No,No
HC,20081,No,No
HC,20082,Sí,Sí
HC,20084,No,No
HC,20085,Sí,No
HC,20087,Sí,Sí
HC,20088,Sí,Sí
HC,20089,Sí,No
HC,20090,No,No
HC,20091,Sí,Sí
HC,20092,Sí,Sí
HC,20093,No,No
HC,20094,No,No
HC,20095,No,No
HC,20096,No,No
HC,20097,Sí,Sí
HC,20099,Sí,Sí
HC,20100,No,No
HC,20101,No,No
HC,20102,Sí,Sí
HC,20103,Sí,Sí
HC,20105,No,No
HC,20106,No,No
HC,20107,No,No
HC,20108,No,No
HC,20109,Sí,Sí
HC,20111,No,No
HC,20112,Sí,Sí
HC,20113,Sí,Sí
HC,20114,Sí,Sí
HC,20115,No,No
HC,20116,No,No
HC,20117,Sí,Sí
HC,20118,No,No
HC,20119,No,No
HC,20120,No,No
HC,20121,No,No
HC,20122,No,No
HC,20123,No,No
HC,20124,Sí,Sí
HC,20125,No,No
HC,20126,Sí,No
HC,20127,No,No
HC,20128,Sí,Sí
HC,20129,Sí,Sí
HC,20130,No,No
HC,20132,No,No
HC,20133,No,No
HC,20134,No,No
HC,20135,Sí,No
HC,20136,No,No
HC,20137,Sí,Sí
HC,20138,Sí,Sí
HC,20139,No,No
HC,20140,No,No
HC,20142,No,No
HC,20143,No,No
HC,20144,Sí,Sí
HC,20145,No,No
HC,20146,No,No
HC,20148,Sí,Sí
HC,20149,Sí,Sí
HC,20150,Sí,No
HC,20151,Sí,Sí
HC,20152,No,No
HC,20153,No,No
HC,20155,No,No
HC,20157,No,No
HC,20158,No,No
HC,20159,No,No
HC,20160,Sí,Sí
HC,20161,No,No
HC,20162,Sí,Sí
HC,20163,Sí,Sí
HC,20164,Sí,Sí
HC,20165,Sí,Sí
HC,20166,Sí,Sí
HC,20167,No,No
HC,20168,Sí,Sí
HC,20169,No,No
HC,20170,No,No
HC,20171,Sí,Sí
HC,20173,No,No
HC,20174,No,No
HC,20175,No,No
HC,20176,No,No
HC,20177,No,No
HC,20178,Sí,Sí
HC,20179,No,No
HC,20181,No,No
HC,20182,No,No
HC,20183,Sí,Sí
HC,20184,No,No
HC,20185,Sí,Sí
HC,20186,No,No
HC,20187,No,No
HC,20188,No,No
HC,20189,No,No
HC,20190,Sí,Sí
HC,20191,Sí,Sí
HC,20192,No,No
HC,20194,No,No
HC,20196,Sí,Sí
HC,20197,Sí,Sí
HC,20198,No,No
HC,20200,No,No
HC,20201,Sí,Sí
HC,20202,Sí,Sí
HC,20203,Sí,Sí
HC,20205,Sí,Sí
HC,20206,Sí,Sí
HC,20207,No,No
HC,20208,No,No
HC,20209,Sí,Sí
HC,20210,No,No
HC,20211,No,No
HC,20212,No,No
HC,20213,No,No
HC,20215,No,No
HC,20216,No,No
HC,20217,Sí,Sí
HC,20218,Sí,Sí
HC,20219,Sí,Sí
HC,20220,No,No
HC,20222,Sí,Sí
HC,20224,No,No
HC,20225,No,No
HC,20226,No,No
HC,20227,No,No
HC,20228,No,No
HC,20229,No,No
HC,20230,No,No
HC,20231,No,No
HC,20232,No,No
HC,20233,Sí,Sí
HC,20234,No,No
HC,20235,No,No
HC,20236,No,No
HC,20237,No,No
HC,20238,No,No
HC,20239,Sí,Sí
HC,20240,No,No
HC,20241,No,No
HC,20242,No,No
HC,20244,No,No
HC,20246,Sí,Sí
HC,20249,No,No
HC,20250,No,No
HC,20251,No,No
HC,20252,No,No
HC,20253,Sí,Sí
HC,20254,Sí,Sí
HC,20255,No,No
HC,20256,No,No
HC,20257,No,No
HC,20259,No,No
HC,20261,No,No
HC,20262,Sí,No
HC,20263,No,No
HC,20264,No,No
HC,20265,No,No
HC,20266,No,No
HC,20267,No,No
HC,20268,No,No
HC,20269,No,No
HC,20270,No,No
HC,20271,No,No
HC,20272,No,No
HC,20273,No,No
HC,20275,No,No
HC,20276,No,No
HC,20277,No,No
HC,20278,No,No
HC,20280,Sí,Sí
HC,20281,Sí,Sí
HC,20282,No,No
HC,20283,No,No
HC,20284,No,No
HC,20285,No,No
